Date,Open,High,Low,Close,Adj Close,Volume
2019-06-24,390.000000,390.000000,384.000000,386.000000,386.000000,8362200
2019-06-25,386.000000,388.000000,382.000000,388.000000,388.000000,8276600
2019-06-26,388.000000,388.000000,384.000000,388.000000,388.000000,7526800
2019-06-27,388.000000,388.000000,384.000000,388.000000,388.000000,6909100
2019-06-28,388.000000,388.000000,384.000000,388.000000,388.000000,4518100
2019-07-01,388.000000,394.000000,386.000000,392.000000,392.000000,9862900
2019-07-02,392.000000,412.000000,390.000000,412.000000,412.000000,21059600
2019-07-03,414.000000,428.000000,412.000000,420.000000,420.000000,24138000
2019-07-04,420.000000,424.000000,412.000000,418.000000,418.000000,11419000
2019-07-05,418.000000,424.000000,418.000000,424.000000,424.000000,9284000
2019-07-08,424.000000,424.000000,416.000000,420.000000,420.000000,11699000
2019-07-09,420.000000,424.000000,418.000000,418.000000,418.000000,9828300
2019-07-10,418.000000,418.000000,414.000000,418.000000,418.000000,8786800
2019-07-11,418.000000,418.000000,414.000000,418.000000,418.000000,9824400
2019-07-12,418.000000,418.000000,414.000000,414.000000,414.000000,7511100
2019-07-15,414.000000,442.000000,414.000000,442.000000,442.000000,29176300
2019-07-16,444.000000,446.000000,434.000000,438.000000,438.000000,15953200
2019-07-17,438.000000,440.000000,434.000000,436.000000,436.000000,10527400
2019-07-18,436.000000,438.000000,434.000000,436.000000,436.000000,8528400
2019-07-19,438.000000,442.000000,434.000000,440.000000,440.000000,14679200
2019-07-22,440.000000,454.000000,438.000000,448.000000,448.000000,21037900
2019-07-23,448.000000,450.000000,444.000000,448.000000,448.000000,11142200
2019-07-24,448.000000,482.000000,446.000000,482.000000,482.000000,39825400
2019-07-25,484.000000,486.000000,472.000000,478.000000,478.000000,20809200
2019-07-26,478.000000,478.000000,470.000000,476.000000,476.000000,11374900
2019-07-29,476.000000,510.000000,474.000000,500.000000,500.000000,33959600
2019-07-30,505.000000,525.000000,500.000000,515.000000,515.000000,18371900
2019-07-31,515.000000,540.000000,515.000000,525.000000,525.000000,22603200
2019-08-01,525.000000,530.000000,510.000000,510.000000,510.000000,17067100
2019-08-02,510.000000,525.000000,500.000000,515.000000,515.000000,20070200
2019-08-05,520.000000,520.000000,510.000000,510.000000,510.000000,14393600
2019-08-06,510.000000,510.000000,480.000000,505.000000,505.000000,28430100
2019-08-07,505.000000,540.000000,500.000000,525.000000,525.000000,25556300
2019-08-08,530.000000,555.000000,530.000000,545.000000,545.000000,28769400
2019-08-09,550.000000,565.000000,545.000000,545.000000,545.000000,20186500
2019-08-12,545.000000,550.000000,530.000000,535.000000,535.000000,13718300
2019-08-13,535.000000,540.000000,520.000000,535.000000,535.000000,14008100
2019-08-14,540.000000,565.000000,535.000000,565.000000,565.000000,28287000
2019-08-15,570.000000,595.000000,540.000000,590.000000,590.000000,40444000
2019-08-16,590.000000,610.000000,580.000000,595.000000,595.000000,35720700
2019-08-19,600.000000,615.000000,595.000000,610.000000,610.000000,18912000
2019-08-20,615.000000,665.000000,610.000000,635.000000,635.000000,63095200
2019-08-21,640.000000,650.000000,615.000000,635.000000,635.000000,36536100
2019-08-22,635.000000,640.000000,620.000000,630.000000,630.000000,22545300
2019-08-23,630.000000,665.000000,625.000000,660.000000,660.000000,47124100
2019-08-26,660.000000,670.000000,635.000000,660.000000,660.000000,32616000
2019-08-27,660.000000,670.000000,640.000000,645.000000,645.000000,22158500
2019-08-28,645.000000,650.000000,585.000000,605.000000,605.000000,52228100
2019-08-29,605.000000,615.000000,560.000000,570.000000,570.000000,58094500
2019-08-30,570.000000,595.000000,530.000000,590.000000,590.000000,66849300
2019-09-02,590.000000,625.000000,590.000000,590.000000,590.000000,53468700
2019-09-03,595.000000,605.000000,585.000000,585.000000,585.000000,21948700
2019-09-04,585.000000,590.000000,565.000000,575.000000,575.000000,18395000
2019-09-05,580.000000,590.000000,555.000000,575.000000,575.000000,23757400
2019-09-06,575.000000,585.000000,560.000000,570.000000,570.000000,17875400
2019-09-09,570.000000,575.000000,560.000000,570.000000,570.000000,14816500
2019-09-10,570.000000,575.000000,555.000000,560.000000,560.000000,12860800
2019-09-11,560.000000,600.000000,560.000000,595.000000,595.000000,44005200
2019-09-12,600.000000,610.000000,575.000000,580.000000,580.000000,25304300
2019-09-13,580.000000,585.000000,565.000000,575.000000,575.000000,14179300
2019-09-16,575.000000,575.000000,560.000000,565.000000,565.000000,12323600
2019-09-17,565.000000,575.000000,560.000000,565.000000,565.000000,11950100
2019-09-18,570.000000,570.000000,560.000000,565.000000,565.000000,11937400
2019-09-19,565.000000,580.000000,560.000000,575.000000,575.000000,13698800
2019-09-20,575.000000,580.000000,565.000000,570.000000,570.000000,9179300
2019-09-23,570.000000,575.000000,560.000000,570.000000,570.000000,7270700
2019-09-24,570.000000,570.000000,535.000000,545.000000,545.000000,21873300
2019-09-25,545.000000,555.000000,540.000000,550.000000,550.000000,11366600
2019-09-26,555.000000,555.000000,545.000000,550.000000,550.000000,8186300
2019-09-27,550.000000,555.000000,540.000000,545.000000,545.000000,8531600
2019-09-30,545.000000,545.000000,530.000000,540.000000,540.000000,10839800
2019-10-01,540.000000,540.000000,535.000000,535.000000,535.000000,7413100
2019-10-02,535.000000,545.000000,530.000000,530.000000,530.000000,9191300
2019-10-03,530.000000,530.000000,500.000000,520.000000,520.000000,21754300
2019-10-04,520.000000,530.000000,510.000000,510.000000,510.000000,10708500
2019-10-07,510.000000,545.000000,510.000000,535.000000,535.000000,18451800
2019-10-08,540.000000,580.000000,535.000000,575.000000,575.000000,37436200
2019-10-09,575.000000,590.000000,560.000000,560.000000,560.000000,27749800
2019-10-10,560.000000,570.000000,550.000000,550.000000,550.000000,14455400
2019-10-11,550.000000,565.000000,540.000000,565.000000,565.000000,17634200
2019-10-14,605.000000,605.000000,555.000000,555.000000,555.000000,12852100
2019-10-15,560.000000,560.000000,550.000000,550.000000,550.000000,9452200
2019-10-16,555.000000,565.000000,550.000000,555.000000,555.000000,10779700
2019-10-17,555.000000,560.000000,540.000000,540.000000,540.000000,13511800
2019-10-18,540.000000,550.000000,540.000000,545.000000,545.000000,8778500
2019-10-21,545.000000,550.000000,535.000000,540.000000,540.000000,11907000
2019-10-22,540.000000,550.000000,535.000000,540.000000,540.000000,10763700
2019-10-23,540.000000,545.000000,535.000000,540.000000,540.000000,9779700
2019-10-24,540.000000,545.000000,535.000000,545.000000,545.000000,11046800
2019-10-25,545.000000,550.000000,535.000000,545.000000,545.000000,8759400
2019-10-28,545.000000,575.000000,540.000000,575.000000,575.000000,27128600
2019-10-29,575.000000,590.000000,565.000000,570.000000,570.000000,24158000
2019-10-30,570.000000,570.000000,550.000000,560.000000,560.000000,14199600
2019-10-31,560.000000,560.000000,545.000000,545.000000,545.000000,11893100
2019-11-01,545.000000,550.000000,535.000000,540.000000,540.000000,12856700
2019-11-04,545.000000,555.000000,540.000000,545.000000,545.000000,13061400
2019-11-05,545.000000,550.000000,535.000000,545.000000,545.000000,8833200
2019-11-06,545.000000,550.000000,535.000000,545.000000,545.000000,11008500
2019-11-07,545.000000,545.000000,520.000000,535.000000,535.000000,13341600
2019-11-08,535.000000,535.000000,520.000000,530.000000,530.000000,10752400
2019-11-11,530.000000,530.000000,515.000000,525.000000,525.000000,10278100
2019-11-12,525.000000,535.000000,515.000000,535.000000,535.000000,10714700
2019-11-13,535.000000,540.000000,525.000000,530.000000,530.000000,8482700
2019-11-14,530.000000,535.000000,525.000000,525.000000,525.000000,8188700
2019-11-15,525.000000,535.000000,520.000000,530.000000,530.000000,6512200
2019-11-18,535.000000,535.000000,525.000000,530.000000,530.000000,7944400
2019-11-19,525.000000,530.000000,520.000000,525.000000,525.000000,8358500
2019-11-20,520.000000,530.000000,515.000000,530.000000,530.000000,8686900
2019-11-21,530.000000,530.000000,525.000000,530.000000,530.000000,7927600
2019-11-22,530.000000,530.000000,520.000000,525.000000,525.000000,7058200
2019-11-25,525.000000,525.000000,515.000000,525.000000,525.000000,8169400
2019-11-26,525.000000,530.000000,520.000000,525.000000,525.000000,6262100
2019-11-27,525.000000,525.000000,515.000000,520.000000,520.000000,7498300
2019-11-28,520.000000,520.000000,505.000000,510.000000,510.000000,10126600
2019-11-29,510.000000,515.000000,500.000000,510.000000,510.000000,7746300
2019-12-02,510.000000,510.000000,500.000000,505.000000,505.000000,6572800
2019-12-03,505.000000,505.000000,498.000000,500.000000,500.000000,7940200
2019-12-04,500.000000,505.000000,498.000000,498.000000,498.000000,7633400
2019-12-05,498.000000,505.000000,498.000000,505.000000,505.000000,8063200
2019-12-06,505.000000,505.000000,492.000000,498.000000,498.000000,8046600
2019-12-09,498.000000,500.000000,496.000000,500.000000,500.000000,7102700
2019-12-10,500.000000,505.000000,496.000000,496.000000,496.000000,6374300
2019-12-11,500.000000,540.000000,496.000000,540.000000,540.000000,18468900
2019-12-12,540.000000,545.000000,520.000000,525.000000,525.000000,17935300
2019-12-13,525.000000,530.000000,505.000000,520.000000,520.000000,9774800
2019-12-16,520.000000,525.000000,510.000000,510.000000,510.000000,7049200
2019-12-17,510.000000,520.000000,510.000000,515.000000,515.000000,4591800
2019-12-18,515.000000,515.000000,505.000000,505.000000,505.000000,5432900
2019-12-19,510.000000,515.000000,505.000000,505.000000,505.000000,3397100
2019-12-20,505.000000,510.000000,505.000000,510.000000,510.000000,3082300
2019-12-23,510.000000,515.000000,505.000000,510.000000,510.000000,5073300
2019-12-26,510.000000,520.000000,505.000000,505.000000,505.000000,8075600
2019-12-27,505.000000,515.000000,505.000000,510.000000,510.000000,4593800
2019-12-30,510.000000,510.000000,505.000000,505.000000,505.000000,2153600
2020-01-02,505.000000,505.000000,498.000000,505.000000,505.000000,5880000
2020-01-03,505.000000,510.000000,500.000000,510.000000,510.000000,5325400
2020-01-06,505.000000,510.000000,500.000000,505.000000,505.000000,4843100
2020-01-07,505.000000,510.000000,500.000000,505.000000,505.000000,5520100
2020-01-08,505.000000,510.000000,500.000000,500.000000,500.000000,3471400
2020-01-09,500.000000,505.000000,498.000000,505.000000,505.000000,6526300
2020-01-10,505.000000,505.000000,500.000000,505.000000,505.000000,3973600
2020-01-13,500.000000,505.000000,500.000000,500.000000,500.000000,4473000
2020-01-14,500.000000,505.000000,498.000000,500.000000,500.000000,5551400
2020-01-15,500.000000,505.000000,498.000000,498.000000,498.000000,5705300
2020-01-16,498.000000,500.000000,498.000000,498.000000,498.000000,3351000
2020-01-17,498.000000,500.000000,496.000000,498.000000,498.000000,7659400
