Date,Open,High,Low,Close,Adj Close,Volume
2019-09-10,11850.000000,12025.000000,11825.000000,12025.000000,12025.000000,4550900
2019-09-11,12025.000000,12050.000000,11850.000000,11950.000000,11950.000000,5861100
2019-09-12,12000.000000,12025.000000,11850.000000,11925.000000,11925.000000,2164800
2019-09-13,11800.000000,11825.000000,11550.000000,11600.000000,11600.000000,4968500
2019-09-16,11500.000000,11875.000000,11475.000000,11825.000000,11825.000000,6073500
2019-09-17,11900.000000,12000.000000,11875.000000,11950.000000,11950.000000,5113400
2019-09-18,11950.000000,12000.000000,11850.000000,11875.000000,11875.000000,2632200
2019-09-19,11975.000000,11975.000000,11850.000000,11900.000000,11900.000000,2160600
2019-09-20,11925.000000,11950.000000,11775.000000,11950.000000,11950.000000,8730600
2019-09-23,11950.000000,11975.000000,11850.000000,11875.000000,11875.000000,2435100
2019-09-24,11950.000000,11975.000000,11725.000000,11800.000000,11800.000000,2092300
2019-09-25,11800.000000,11850.000000,11600.000000,11800.000000,11800.000000,4008700
2019-09-26,11900.000000,12050.000000,11875.000000,12000.000000,12000.000000,4714500
2019-09-27,12000.000000,12000.000000,11875.000000,11950.000000,11950.000000,2938500
2019-09-30,11950.000000,12025.000000,11900.000000,12025.000000,12025.000000,3417900
2019-10-01,11950.000000,11975.000000,11875.000000,11925.000000,11925.000000,2714500
2019-10-02,11975.000000,12550.000000,11975.000000,12200.000000,12200.000000,3768000
2019-10-03,12275.000000,12400.000000,11700.000000,12200.000000,12200.000000,6457500
2019-10-04,12275.000000,12325.000000,12150.000000,12225.000000,12225.000000,1296900
2019-10-07,12225.000000,12350.000000,12150.000000,12275.000000,12275.000000,1419100
2019-10-08,12400.000000,12400.000000,12275.000000,12400.000000,12400.000000,2937900
2019-10-09,12500.000000,12500.000000,11975.000000,12000.000000,12000.000000,3141600
2019-10-10,11875.000000,11875.000000,11350.000000,11450.000000,11450.000000,9475400
2019-10-11,11550.000000,11675.000000,11525.000000,11625.000000,11625.000000,6715800
2019-10-14,11650.000000,11750.000000,11550.000000,11600.000000,11600.000000,6405900
2019-10-15,11550.000000,11625.000000,11325.000000,11375.000000,11375.000000,3905000
2019-10-16,11400.000000,11600.000000,11250.000000,11325.000000,11325.000000,8774100
2019-10-17,11325.000000,11550.000000,11325.000000,11550.000000,11550.000000,4469900
2019-10-18,11575.000000,11600.000000,11250.000000,11275.000000,11275.000000,5140100
2019-10-21,11275.000000,11600.000000,11250.000000,11400.000000,11400.000000,4684500
2019-10-22,11500.000000,11525.000000,11375.000000,11425.000000,11425.000000,5062200
2019-10-23,11425.000000,11525.000000,11300.000000,11500.000000,11500.000000,5815300
2019-10-24,11500.000000,11625.000000,11450.000000,11600.000000,11600.000000,8818700
2019-10-25,11575.000000,11700.000000,11200.000000,11425.000000,11425.000000,5173500
2019-10-28,11450.000000,11725.000000,11350.000000,11700.000000,11700.000000,2733100
2019-10-29,11675.000000,11700.000000,11500.000000,11600.000000,11600.000000,4852400
2019-10-30,11850.000000,11850.000000,11600.000000,11675.000000,11675.000000,4996400
2019-10-31,11650.000000,11725.000000,11575.000000,11625.000000,11625.000000,6226300
2019-11-01,11750.000000,11750.000000,11575.000000,11625.000000,11625.000000,3642500
2019-11-04,11625.000000,11650.000000,11325.000000,11350.000000,11350.000000,4044400
2019-11-05,11300.000000,11425.000000,11100.000000,11200.000000,11200.000000,9265000
2019-11-06,11250.000000,11325.000000,11100.000000,11225.000000,11225.000000,6111800
2019-11-07,11250.000000,11300.000000,10800.000000,10800.000000,10800.000000,6648400
2019-11-08,10775.000000,11300.000000,10750.000000,11275.000000,11275.000000,8192000
2019-11-11,11300.000000,11475.000000,11300.000000,11400.000000,11400.000000,9711300
2019-11-12,11400.000000,11425.000000,11300.000000,11400.000000,11400.000000,6231700
2019-11-13,11400.000000,11475.000000,11325.000000,11475.000000,11475.000000,3092400
2019-11-14,11475.000000,11500.000000,11325.000000,11400.000000,11400.000000,13000400
2019-11-15,11350.000000,11425.000000,11350.000000,11400.000000,11400.000000,8348400
2019-11-18,11400.000000,11450.000000,11300.000000,11400.000000,11400.000000,3468700
2019-11-19,11400.000000,11425.000000,11250.000000,11425.000000,11425.000000,7517700
2019-11-20,11400.000000,11425.000000,11350.000000,11425.000000,11425.000000,2800200
2019-11-21,11400.000000,11450.000000,11400.000000,11400.000000,11400.000000,5055700
2019-11-22,11300.000000,11425.000000,11300.000000,11425.000000,11425.000000,1941500
2019-11-25,11375.000000,11425.000000,11375.000000,11400.000000,11400.000000,8105000
2019-11-26,11375.000000,11425.000000,11375.000000,11375.000000,11375.000000,13063100
2019-11-27,11325.000000,11550.000000,11300.000000,11375.000000,11375.000000,2689000
2019-11-28,11450.000000,11525.000000,11325.000000,11325.000000,11325.000000,2859600
2019-11-29,11325.000000,11500.000000,11300.000000,11325.000000,11325.000000,3762100
2019-12-02,11350.000000,11500.000000,11350.000000,11400.000000,11400.000000,2671100
2019-12-03,11600.000000,11625.000000,11375.000000,11400.000000,11400.000000,2400700
2019-12-04,11400.000000,11425.000000,11100.000000,11100.000000,11100.000000,6445900
2019-12-05,11250.000000,11325.000000,11150.000000,11250.000000,11250.000000,6379900
2019-12-06,11300.000000,11450.000000,11250.000000,11425.000000,11425.000000,2077700
2019-12-09,11425.000000,11425.000000,11325.000000,11375.000000,11375.000000,2446300
2019-12-10,11375.000000,11550.000000,11350.000000,11375.000000,11375.000000,3879900
2019-12-11,11400.000000,11525.000000,11400.000000,11450.000000,11450.000000,2694800
2019-12-12,11525.000000,11525.000000,11350.000000,11375.000000,11375.000000,3944900
2019-12-13,11350.000000,11475.000000,11350.000000,11450.000000,11450.000000,3441700
2019-12-16,11350.000000,11450.000000,11325.000000,11350.000000,11350.000000,4959000
2019-12-17,11325.000000,11500.000000,11300.000000,11500.000000,11500.000000,7056800
2019-12-18,11450.000000,11500.000000,11250.000000,11500.000000,11500.000000,9347100
2019-12-19,11475.000000,11475.000000,11375.000000,11425.000000,11425.000000,3900600
2019-12-20,11400.000000,11525.000000,11275.000000,11525.000000,11525.000000,12072700
2019-12-23,11500.000000,11500.000000,11325.000000,11400.000000,11400.000000,4627300
2019-12-26,11325.000000,11425.000000,11250.000000,11275.000000,11275.000000,2931200
2019-12-27,11275.000000,11275.000000,11100.000000,11175.000000,11175.000000,6856300
2019-12-30,11200.000000,11275.000000,11150.000000,11150.000000,11150.000000,5838000
2020-01-02,11275.000000,11300.000000,11100.000000,11150.000000,11150.000000,1240200
2020-01-03,11150.000000,11275.000000,11050.000000,11250.000000,11250.000000,3044300
2020-01-06,11250.000000,11550.000000,11175.000000,11500.000000,11500.000000,3369400
2020-01-07,11550.000000,11550.000000,11200.000000,11500.000000,11500.000000,4636500
2020-01-08,11300.000000,11550.000000,11300.000000,11550.000000,11550.000000,3602100
2020-01-09,11550.000000,11550.000000,11400.000000,11525.000000,11525.000000,4490400
2020-01-10,11550.000000,11575.000000,11475.000000,11525.000000,11525.000000,4671700
2020-01-13,11600.000000,11600.000000,11525.000000,11550.000000,11550.000000,3006900
2020-01-14,11625.000000,11625.000000,11550.000000,11600.000000,11600.000000,4265000
2020-01-15,11625.000000,11625.000000,11425.000000,11475.000000,11475.000000,4462500
2020-01-16,11475.000000,11600.000000,11425.000000,11600.000000,11600.000000,4698300
2020-01-17,11600.000000,11600.000000,11550.000000,11575.000000,11575.000000,2827400
2020-01-20,11575.000000,11600.000000,11550.000000,11600.000000,11600.000000,3167900
2020-01-21,11625.000000,11800.000000,11600.000000,11700.000000,11700.000000,3918900
2020-01-22,11700.000000,11875.000000,11675.000000,11750.000000,11750.000000,5004000
2020-01-23,11700.000000,11775.000000,11650.000000,11700.000000,11700.000000,1669200
2020-01-24,11675.000000,11700.000000,11600.000000,11700.000000,11700.000000,1701000
2020-01-27,11700.000000,11725.000000,11625.000000,11650.000000,11650.000000,2236100
2020-01-28,11625.000000,11650.000000,11300.000000,11625.000000,11625.000000,3602200
2020-01-29,11650.000000,11800.000000,11650.000000,11700.000000,11700.000000,2873700
2020-01-30,11750.000000,11900.000000,11475.000000,11625.000000,11625.000000,5091400
2020-01-31,11600.000000,11600.000000,11375.000000,11375.000000,11375.000000,6281100
2020-02-03,11375.000000,11425.000000,11300.000000,11400.000000,11400.000000,2396500
2020-02-04,11550.000000,11700.000000,11475.000000,11600.000000,11600.000000,6060300
2020-02-05,11600.000000,11625.000000,11450.000000,11500.000000,11500.000000,2591600
2020-02-06,11475.000000,11650.000000,11475.000000,11500.000000,11500.000000,2299400
2020-02-07,11500.000000,11550.000000,11400.000000,11500.000000,11500.000000,1786400
2020-02-10,11650.000000,11650.000000,11400.000000,11575.000000,11575.000000,2697700
2020-02-11,11575.000000,11575.000000,11400.000000,11475.000000,11475.000000,13191900
2020-02-12,11050.000000,11050.000000,10550.000000,10750.000000,10750.000000,38781300
2020-02-13,10700.000000,10950.000000,10600.000000,10800.000000,10800.000000,6782100
